word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
indignant,adj.,憤怒的、憤慨的,"(at/over/about sth) angry and scornful, esp at injustice or because of undeserved blame, etc",He was very indignant about the changes. 對於這些改變相當憤怒 an indignant tone of voice,,,,1,1,"Mason 2000 PDF page 23 / 字根 dain, dign 高貴的 / 提示 dignity 尊嚴、莊嚴"
condemn,v.,責難、譴責,sb/sth say that one disapproves of sb/sth,We strongly condemn this attack against our allies. 強烈譴責這對我們盟友的攻擊,,,,5,5,"Mason 2000 PDF page 23 / 字根 damn, demn 損害 / 提示 condemn 責難、譴責"
damn,,嚴厲批評、譴責,,,,,,2,1,"Mason 2000 PDF page 23 / 字根 damn, demn 損害 / 提示 condemn 責難、譴責"
indemnify,v.,補償；賠償、償付（使損害消除）,sb (from/against sth) (law or commerce ) promise to compensate sb for any harm he may suffer,indemnified the families of the dead miners,,,,1,1,"Mason 2000 PDF page 23 / 字根 damn, demn 損害 / 提示 condemn 責難、譴責"
decorous,adj.,合宜的、高雅的,dignified and socially acceptable,His manner was decorous.,befitting;correct;decent;genteel;seemly,indecorous 無禮的,,2,2,Mason 2000 PDF page 23 / 字根 decor 美、裝飾 / 提示 decorate 裝飾、修飾
decorum,n.,端莊、彬彬有禮、合宜,dignified and socially acceptable behaviour,Some feared that allowing infants in the chamber would disrupt Senate decorum,,,,3,3,Mason 2000 PDF page 23 / 字根 decor 美、裝飾 / 提示 decorate 裝飾、修飾
deleterious,,（對身體）有害的、有毒的（要刪除）,harmful often in a subtle or unexpected way,deleterious to health 對健康有害,,,,2,2,Mason 2000 PDF page 23 / 字根 del 刪除、擦掉 / 提示 delete 刪除、劃掉
demotic,adj.,大眾的、通俗的,of or used by ordinary people,a demotic idiom,,,,1,1,Mason 2000 PDF page 23 / 字根 dem 人民 / 提示 democracy 民主
endemic,,地方性的、當地的,"n, adj that is regularly found in a particular country or area, or among a particular group of people","the fish is not an endemic species of the lake 當地種; Malaria is endemic 地區性疾病 in hot, moist climates.",,,,3,3,Mason 2000 PDF page 23 / 字根 dem 人民 / 提示 democracy 民主
ambidextrous,adj.,雙手靈巧的、十分靈巧的,able to use the left hand or the right hand equally well,,,,ambi(二) + dextr(右的) + ous,1,1,Mason 2000 PDF page 23 / 字根 dexter 右邊的、熟練的 / 提示 dexterity 純熟、靈巧
dexterous,adj.,靈巧的、熟練的,skilful with one's hands,She was so dexterous with her fingers that she could type on the keyboard without even looking at it. 她的手指非常靈巧，以至於 她甚至可以不看鍵盤就打字。,clever;cunning;deft;handy,,,2,2,Mason 2000 PDF page 23 / 字根 dexter 右邊的、熟練的 / 提示 dexterity 純熟、靈巧
diurnal,adj.,白晝的、白天的,of the daytime; not nocturnal,,,,,1,1,Mason 2000 PDF page 23 / 字根 di 白天、noct 夜晚 / 提示 diary 日記、日誌
nocturnal,adj.,夜晚的、夜間發生的,of or in the night; done or happening in the night,,,,,1,1,Mason 2000 PDF page 23 / 字根 di 白天、noct 夜晚 / 提示 diary 日記、日誌
quotidian,adj.,日常的、平常的,everyday; commonplace,,,,,1,1,Mason 2000 PDF page 23 / 字根 di 白天、noct 夜晚 / 提示 diary 日記、日誌
dilatory,adj.,慢吞吞的、磨蹭的,(in doing sth) slow in acting,dilatory progress,tardy,,源於 delay,2,2,"Mason 2000 PDF page 24 / 字根 di, du 雙 / 提示 dilemma 兩難、困境"
dilemma,n.,兩難、困境,situation in which one has to choose between two undesirable things or courses of action,,,,,2,2,"Mason 2000 PDF page 24 / 字根 di, du 雙 / 提示 dilemma 兩難、困境"
divergent,adj.,分歧的；相異的；迥然不同的,moving or extending in different directions from a common point; differing from each other or from a standard,Two Vogue editors discuss their wildly divergent habits. 歧異 Two roads diverged in a yellow wood. 樹林兩條岔路,,,,3,3,"Mason 2000 PDF page 24 / 字根 di, du 雙 / 提示 dilemma 兩難、困境"
dubious,adj.,有問題的,not certain and slightly suspicious about sth; doubtful,He made the highly dubious claim that Albert Einstein is still alive and living in Mexico.,,,"字源：from Late Latin dubiosus ""doubtful,"" ""wavering in opinion""",3,3,"Mason 2000 PDF page 24 / 字根 di, du 雙 / 提示 dilemma 兩難、困境"
duplicity,n.,欺騙行為、奸詐行徑,"deliberate deception; contradictory doubleness of thought, speech, or action",He exposed the spy's duplicity. 他揭發間諜的欺詐行為,,,,3,3,"Mason 2000 PDF page 24 / 字根 di, du 雙 / 提示 dilemma 兩難、困境"
abdicate,v.,正式放棄（權力等）、退（位）、辭（職）,resign from or formally renounce the throne,The king was forced to abdicate his throne after a popular uprising. 因為一場民眾起義，國王被迫退位。,,,ab(離開) + dic(命令) + act → 不再命令 → 退位、辭職,2,2,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
benediction,n.,祝福、祈禱,"blessing, esp one said before a meal or at the end of a church service",,,,bene(好) + dict(說話) + ion → 說好話 → 祝福、祈禱,1,1,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
dictate,v.,口述；命令；決定,"to speak or act domineeringly : PRESCRIBE; to issue as an order; to impose, pronounce, or specify authoritatively",The CEO dictated a new policy that all employees must work overtime without extra pay. CEO 下令所有員工必須加班並且不 會得到額外的薪資。,call;command;decree;direct;mandate;ordain;order,,,2,2,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
indict,v.,控訴、起訴,sb (law ) accuse sb officially (of sth); charge sb,A grand jury is expected to indict him for murder. 謀殺罪名起訴,accuse;charge;impeach;incriminate,,,1,1,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
malediction,n.,詛咒、壞話,"prayer that sb or sth may be destroyed, hurt, etc; curse",,,,male(壞) + dict(說話) + ion,1,1,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
predicament,n.,困境、窘境,"difficult or unpleasant situation, esp one in which sb is uncertain what to do",Congress to blame itself for present predicament.,,,pre(預先) + dic(命令) + ament → 預先被命令了 → 左右為難 → 困境、窘境,1,1,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
valediction,n.,告別演說,"(words used in) saying farewell, esp on serious occasions",,,,vale(告別) + dict(說) + ion,1,1,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
verdict,n.,判決、決定,decision reached by a jury on a question of fact in a law case,The jury reached a unanimous verdict of guilty after deliberating for several hours. 陪審團經過數小時的審議後，達成了一致 的有罪裁決。,,,ver(真實) + dict(說),2,2,"Mason 2000 PDF page 24 / 字根 dic, dict 說話、命令 / 提示 predict 預測"
didactic,adj.,說教的、教導的,intended to teach,a didactic approach to teaching 說教式的教學方法,,,,5,5,Mason 2000 PDF page 24 / 字根 doc: teach 教 / 提示 doctor 博士
docile,adj.,馴服的、易駕御的,easy to control,"Africanized honeybees are fairly docile when they are foraging 尋覓食物, but they defend their nests ferociously 兇猛地.",,,,3,3,Mason 2000 PDF page 24 / 字根 doc: teach 教 / 提示 doctor 博士
doctrinaire,adj.,教條的、迂腐的,rigidly applying a theory with no concern for practical problems,doctrinaire approach 教條途徑,,,,3,3,Mason 2000 PDF page 24 / 字根 doc: teach 教 / 提示 doctor 博士
doctrine,,教條、主義,,,,,,2,1,Mason 2000 PDF page 25 / 字根 doc: teach 教 / 提示 doctor 博士
condole,v.,哀悼、同情,"with sb (fml ) express sympathy (for a misfortune, bereavement, etc)","(印度評論家遇刺) Despite nationwide protests, the prime minister has not yet condemned Lankesh’'s murder or condoled with her family. - WSJ",,,,1,1,Mason 2000 PDF page 25 / 字根 dol: pain 痛 / 提示 condolence 弔唁、慰問
condolence,,弔辭、弔唁、慰問,,Many political leader expressed condolence over his demise (印度詩人Manglesh Dabral過世) and remembered his contribution to the literary world.,,,,1,1,Mason 2000 PDF page 25 / 字根 dol: pain 痛 / 提示 condolence 弔唁、慰問
doleful,adj.,悲傷的、憂鬱的,sad; mournful,,,,dole: 痛 + ful 多…的,1,1,Mason 2000 PDF page 25 / 字根 dol: pain 痛 / 提示 condolence 弔唁、慰問
dolorous,adj.,悲痛的、憂傷的,sorrowful,,,,dolor(美金) + ous(多...的),1,1,Mason 2000 PDF page 25 / 字根 dol: pain 痛 / 提示 condolence 弔唁、慰問
indolent,,懶惰的,,an indolent reply 懶洋洋的答覆,,,avoid pain → lazy,3,3,Mason 2000 PDF page 25 / 字根 dol: pain 痛 / 提示 condolence 弔唁、慰問
domain,n.,領土、領域,"lands owned or ruled by a nobleman, government, etc",,,,,1,1,Mason 2000 PDF page 25 / 字根 dom 家 / 提示 domain 領土、領域
dominate,v.,控制、支配,"have control of or a very strong influence on (people, events, etc)",,,,,1,1,Mason 2000 PDF page 25 / 字根 dom 家 / 提示 domain 領土、領域
predominant,adj.,佔優勢的、佔支配地位的,having more power or influence than others,,,,,1,1,Mason 2000 PDF page 25 / 字根 dom 家 / 提示 domain 領土、領域
condone,v.,原諒、寬恕,treat or regard as if it were not serious or wrong; overlook; forgive,I don't condone violence. 我不寬恕暴力,,,給予理解 → 寬恕、原諒,4,4,Mason 2000 PDF page 25 / 字根 don 給予 / 提示 donate 捐贈、贈送
dormant,adj.,休眠的、靜止的,temporarily inactive,a dormant volcano 休火山,,,dorm 宿舍,3,3,Mason 2000 PDF page 25 / 字根 dorm 睡眠 / 提示 dormitory 宿舍、寢室
endorse,v.,背書（在支票背面簽名）、贊同,to approve openly; write one's name on the back of,The famous basketball player decided to endorse the new sports drink because he believed in its benefits. 這位著名的籃球運動員 決定代言這款新的運動飲料，因為他相信它的好處。,,,,2,2,Mason 2000 PDF page 25 / 字根 dors 背 / 提示 endorse 背書
dogma,n.,教條、教義,"belief or set of beliefs put forward by some authority, esp a Church, to be accepted as a matter of faith",supporting and spreading an uncompromising religious dogma. 支持和散播不容妥協的宗教教條,,,,4,4,"Mason 2000 PDF page 25 / 字根 dog, dox 觀點、思想 / 提示 dogma 教條、教義"
dogmatism,n.,教條主義,(quality of) being dogmatic,,,,,1,1,"Mason 2000 PDF page 25 / 字根 dog, dox 觀點、思想 / 提示 dogma 教條、教義"
heterodox,adj.,異端的、非正統的,not conforming with accepted standards or beliefs,Her heterodox approach to teaching science initially met with some resistance from her peers.,unconventional,,,2,2,"Mason 2000 PDF page 25 / 字根 dog, dox 觀點、思想 / 提示 dogma 教條、教義"
paradox,n.,悖論、似非而是的議論,statement that seems to be absurd or contradictory but is or may be true,It sounds like a paradox - Paris has almost three times as much rain as London but London is much rainier than Paris. 聽起來是個 悖論：巴黎雨量比倫敦多三倍，但倫敦卻比巴黎還常下雨,,,,5,5,"Mason 2000 PDF page 25 / 字根 dog, dox 觀點、思想 / 提示 dogma 教條、教義"
orthodox,adj.,正統的、傳統的、習俗的、通常的,conforming to established doctrine especially in religion; CONVENTIONAL,orthodox religion 正統宗教 orthodox views/opinions 正統觀點,,,ortho(正) + dox(思想),5,5,"Mason 2000 PDF page 26 / 字根 dog, dox 觀點、思想 / 提示 dogma 教條、教義"
orthodontics,n.,齒科矯正術、正牙學（作單數用）,(branch of dentistry that deals with) preventing and correcting irregularities in the position of the teeth and jaws,,,,ortho(正) dont(=dent 牙齒) + ics,5,2,"Mason 2000 PDF page 26 / 字根 dog, dox 觀點、思想 / 提示 dogma 教條、教義"
adroit,adj.,靈巧的、熟練的,skilful; clever,He was adroit at tax avoidance. 他很善於避稅,dexterous;nimble (敏捷的);artful;deft;masterful;virtuoso,,,4,4,Mason 2000 PDF page 26 / 字根 droit 右邊、擅長 / 提示 adroit 靈巧的、熟練的
maladroit,adj.,笨拙的,not clever or skilful; clumsy; bungling,,,,,5,2,Mason 2000 PDF page 26 / 字根 droit 右邊、擅長 / 提示 adroit 靈巧的、熟練的
adduce,v.,引用、舉例,put (sth) forward as an example or as proof,,,,,1,1,"Mason 2000 PDF page 26 / 字根 duct, duc 引導 / 提示 conduct 品德、行為"
conducive,adj.,有助的、有益的、促成的,to sth allowing or helping sth to happen,Members and ex-members say a strict culture that reveres church authorities as nearly unquestionable has led to an environment conducive to ongoing (child) abuse. (虐待兒童) — Sarah Smith // College sports are especially un-conducive to market principles.,,,,3,3,"Mason 2000 PDF page 26 / 字根 duct, duc 引導 / 提示 conduct 品德、行為"
deduce,v.,演譯、推斷,"sth arrive at (facts, a theory, etc) by reasoning; infer sth",I could deduce by his facial expression and body language that he was sad. - Sheldon,,,,2,2,"Mason 2000 PDF page 26 / 字根 duct, duc 引導 / 提示 conduct 品德、行為"
deduct,v.,減除、扣除,sth take away (an amount or a part),"All three programs deduct 5% from workers' paychecks, and employees can opt out or change their savings rate. — WSJ",,,,2,2,"Mason 2000 PDF page 26 / 字根 duct, duc 引導 / 提示 conduct 品德、行為"
ductile,adj.,易拉長的、變形的,"that can be pressed, beaten or pulled into fine strands without being heated ,",,,,,5,2,"Mason 2000 PDF page 26 / 字根 duct, duc 引導 / 提示 conduct 品德、行為"
induce,v.,誘導、引起,persuade or influence (sb) to do sth,,,,,2,1,"Mason 2000 PDF page 26 / 字根 duct, duc 引導 / 提示 conduct 品德、行為"
seductive,adj.,誘惑的、引人注意的、有魅力的,"tending to seduce, charm or tempt sb; attractive",,,,,2,2,"Mason 2000 PDF page 26 / 字根 duct, duc 引導 / 提示 conduct 品德、行為"
overdue,adj.,過期的,"not paid, completed, arrived, etc by the due or expected time",,,,,2,1,Mason 2000 PDF page 26 / 字根 due 放 / 提示 due 到期的
subdue,v.,征服、壓制、減輕,bring under control by force; defeat,subdued his fears 壓抑他的恐懼,,,,4,4,Mason 2000 PDF page 26 / 字根 due 放 / 提示 due 到期的
endure,v.,忍受、忍耐,suffer or undergo patiently,,,,,3,3,Mason 2000 PDF page 26 / 字根 dur 持久、堅硬 / 提示 endure 忍受、忍耐 duration 期間
obdurate,adj.,固執的、頑固的；頑抗的；抵抗的,impossible to change; stubborn; resistant to persuasion or softening influences,an obdurate opponent 頑抗的對手 // obdurate defense 頑抗的防禦,,,,3,3,Mason 2000 PDF page 26 / 字根 dur 持久、堅硬 / 提示 endure 忍受、忍耐 duration 期間
exempt,adj.,免除、豁免,"free from an obligation, duty or payment; not liable",,,,ex(出) + empt(拿、買) → 拿出去 → 免除,1,1,Mason 2000 PDF page 26 / 字根 empt 拿、買 / 提示 exempt 免除、豁免
peremptory,adj.,專橫的、不容反抗的,"(esp derog ) (of a person, his manner, etc) insisting on immediate obedience or submission; domineering",,,,per(完全) + empt(買) + ory → 全部買下來 →專橫,1,1,Mason 2000 PDF page 26 / 字根 empt 拿、買 / 提示 exempt 免除、豁免
preempt,,先發制人；取代；以先買權取得,to replace with something considered to be of greater value or priority: to prevent from happening or taking place,The government preempted a coup attempt. 政府對政變先發制人 // The state law was preempted by a federal law. 取代,forestall;preclude,,pre(預先) + empt(買) → 先買 → 以先買權取得,5,5,Mason 2000 PDF page 26 / 字根 empt 拿、買 / 提示 exempt 免除、豁免
adequate,adj.,足夠的；適當的,satisfactory in quantity or quality; sufficient,this office is perfectly adequate for my needs 足夠的 // the law is adequate to deal with the problem 適當的,,inadequate,ad(使) + equ(平等) + ate,4,4,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
egalitarian,,主張人人平等的,"n, adj showing or holding a belief in equal rights, benefits and opportunities for everybody",There has always been a tension in the U.S. between our aspirations to national greatness and our egalitarian principles. - WSJ,,,ega = equ,4,4,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equable,adj.,穩定的、不變的,free from extremes of heat or cold; moderate,an equable man 冷靜的 // an equable climate 平穩的,even-tempered;calm;composed;collected;nonchalant;insouciant,,,1,1,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equanimity,n.,鎮定、沉著,calmness of mind or temper,She confronted the daily crises with equanimity. 他以沈著面對每天的危機,composure;calm;tranquility;imperturbability;aplomb,anxiety,事情發生了自己仍然和之前相同 → 沉著,2,2,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equate,v.,認為…相等或相仿,sth consider sth as equal or equivalent (to sth else),,,,,1,1,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equator,n.,赤道,imaginary line around the earth at an equal distance from the North and South Poles,,,,,2,1,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equilibrium,n.,平衡,state of being balanced,"But longer dry seasons, the expansion of the desert and one of the world’s fastest-growing populations, has destroyed that equilibrium. 乾季的延長、沙漠的擴張和全球最快的人口成長摧毀了平衡",,,,3,3,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equitable,adj.,公正的、合理的,fair and just; reasonable,,,,,1,1,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equivalent,adj.,相等的、等值的,"equal in value, amount, meaning, importance, etc",Her reply is equivalent to a refusal. 她的回答等同於拒絕,,,,5,5,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
equivocal,adj.,模稜兩可的、不明確的、不確定的,having a double or doubtful meaning; ambiguous,the equivocal nature of her remarks 他說法模稜兩可的特性,,,,5,5,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
iniquitous,adj.,極不公正的、邪惡的,very wicked or unjust,an iniquitous tax,,,,1,1,Mason 2000 PDF page 27 / 字根 equ 相等、公平 / 提示 equal 相等的
aberrant,adj.,偏差的；越軌的；異常的,"not following the normal or correct way; deviating from the usual or natural type : ATYPICAL, ABNORMAL",aberrant behavior 偏差行為、犯罪行為 chromosome aberration syndrome 染色體畸變症候群,,,,4,4,Mason 2000 PDF page 27 / 字根 err 犯錯、流浪 / 提示 error 錯誤
errand,n.,差事、差使,"short journey to take a message, get or deliver goods, etc",He was on a errand for his father.,,,,1,1,Mason 2000 PDF page 27 / 字根 err 犯錯、流浪 / 提示 error 錯誤
errant,,迷路的；走入歧途的；遊歷的,behaving wrongly (an errant child); straying outside the proper path or bounds (an errant calf),an errant child; an errant calf,,,,1,1,Mason 2000 PDF page 27 / 字根 err 犯錯、流浪 / 提示 error 錯誤
erratic,adj.,飄忽不定的；反覆無常的、古怪的,"irregular or uneven in movement, quality or behaviour; unreliable",an erratic comet 飄忽不定的彗星 // an erratic genius 一個古怪的天才,,,,4,4,Mason 2000 PDF page 27 / 字根 err 犯錯、流浪 / 提示 error 錯誤
erroneous,adj.,錯誤的、不正確的,incorrect; mistaken,,,,,1,1,Mason 2000 PDF page 27 / 字根 err 犯錯、流浪 / 提示 error 錯誤
exert,v.,運用（力量）,"sth bring (a quality, skill, pressure, etc) into use; apply sth",,,,,1,1,Mason 2000 PDF page 27 / 字根 ert 力量、動 / 提示 exert 運用（力量）
inert,adj.,惰性的、行動遲鈍的,as applied to things implies powerlessness to move or to affect other things; as applied to persons it suggests an inherent or habitual indisposition to activity.,the inert economy,dull;inactive;lethargic;quiescent;sleepy;sluggish;torpid,,,3,3,Mason 2000 PDF page 27 / 字根 ert 力量、動 / 提示 exert 運用（力量）
inertia,n.,慣性、慣量；惰性,lack of vigour; lethargy,,,,,2,1,Mason 2000 PDF page 28 / 字根 ert 力量、動 / 提示 exert 運用（力量）
quintessential,adj.,精髓的、典型的,perfectly typical or representative of a particular kind of person or thing,"This is the quintessential Los Angeles restaurant, casual but never frumpy, lively but not overheated.",,,quint(五) + ess(存在) + ence → 組成世界的五種物質 → 榜樣、精華,3,3,Mason 2000 PDF page 28 / 字根 ess 存在 / 提示 essential 必要的、本質的
aesthetic,,美學的、有審美感的,,Philistine (庸俗的人) hide no secret his disdain (鄙視、厭惡) of aesthetic endeavor (努力、付出).,,,,5,5,Mason 2000 PDF page 28 / 字根 esthe 感覺 / 提示 aesthetic 美學的、有審美感的
ethos,n.,道德風貌、思潮、信仰,"characteristic spirit, moral values, ideas or beliefs of a group, community or culture",,,,,1,1,Mason 2000 PDF page 28 / 字根 ethn 種族 / 提示 ethics 倫理學、道德學
longevity,n.,長命、長壽,long life,,,,,2,1,Mason 2000 PDF page 28 / 字根 ev 年齡、時代 / 提示 medieval 中世紀的、中古的
medieval,adj.,中世紀的、中古的,"of the Middle Ages, about AD 1100-1400 , 1100-1400",,,,medi(中) + ev(時代) + al,2,1,Mason 2000 PDF page 28 / 字根 ev 年齡、時代 / 提示 medieval 中世紀的、中古的
affable,adj.,和藹可親的、容易親近的,polite and friendly,an affable host 和藹可親的東道主,,,,4,4,Mason 2000 PDF page 28 / 字根 fa 說 / 提示 fame 名聲
blasphemy,n.,褻瀆、褻瀆的言辭,blasphemous behaviour or language,,,,bla(=blah blah) + phe(=fa說) → 對上帝說 blah blah → 褻瀆,5,2,Mason 2000 PDF page 28 / 字根 fa 說 / 提示 fame 名聲
defamatory,adj.,破壞名譽的、誹謗的,intended to defame,defamation lawsuit 誹謗訴訟,,,de: 向下 fama = fame 名聲,2,2,Mason 2000 PDF page 28 / 字根 fa 說 / 提示 fame 名聲
fable,,寓言、傳說,,,,,,5,2,Mason 2000 PDF page 28 / 字根 fa 說 / 提示 fame 名聲
fabulous,adj.,非常好的,incredibly great,,,,,2,1,Mason 2000 PDF page 28 / 字根 fa 說 / 提示 fame 名聲
efficacious,adj.,有效的、靈驗的,(not of people) producing the desired result; effective,The vaccine has proved both efficacious and safe. 這個疫苗被證明為很有效且安全的,,,,4,4,"Mason 2000 PDF page 28 / 字根 fac, fact 做 / 提示 factual 真實的、事實的"
facile,adj.,容易做的、膚淺的,easily obtained or achieved (and so not highly valued),a facile solution 一個表淺的解決方案,,,,4,4,"Mason 2000 PDF page 28 / 字根 fac, fact 做 / 提示 factual 真實的、事實的"
facility,n.,才能、資質、容易做好事情的能力,ease in performance : APTITUDE; the quality of being easily performed,a facility for writing,,,,2,2,"Mason 2000 PDF page 28 / 字根 fac, fact 做 / 提示 factual 真實的、事實的"
facsimile,n.,複製本、摹本,"exact copy or reproduction of writing, printing, a picture, etc",,,,fac(做) + simil(相同) + e,1,1,"Mason 2000 PDF page 28 / 字根 fac, fact 做 / 提示 factual 真實的、事實的"
faction,n.,派別、宗派、小集團,"small united group within a larger one, esp in politics",,,,,1,1,"Mason 2000 PDF page 28 / 字根 fac, fact 做 / 提示 factual 真實的、事實的"
factotum,n.,雜工、打雜,person employed to do all kinds of work,,,,,1,1,"Mason 2000 PDF page 28 / 字根 fac, fact 做 / 提示 factual 真實的、事實的"
factual,adj.,真實的、事實的,based on or containing facts,,,,,1,1,"Mason 2000 PDF page 28 / 字根 fac, fact 做 / 提示 factual 真實的、事實的"
efface,v.,擦掉、抹去 建築物的正面、（虛偽的）外表,rub or wipe (sth) out; cause to fade 1façade,,,,,1,1,Mason 2000 PDF page 28 / 字根 face 臉、面 / 提示 preface 序言、緒言
facetious,adj.,輕浮的、好開玩笑的,"intended to be amusing, often inappropriately","Diplo then set off a stream of response tweets, rich with memes and facetious apologies. Diplo接著送出一連串的充滿著梗圖和 玩笑道歉的推特 // a facetious remark 玩笑的言辭",,,face(臉) + ous(多...的) → 臉很多 → 扮開心扮難過逗人笑 → 好開玩笑的,5,5,Mason 2000 PDF page 29 / 字根 face 臉、面 / 提示 preface 序言、緒言
multifaceted,,多面向的,,Joanne was a multifaceted individual; she knew how to bargain both with Wall Street brokers and push-cart vendors.,,,,4,4,Mason 2000 PDF page 29 / 字根 face 臉、面 / 提示 preface 序言、緒言
preface,n.,序言、緒言、引語,"introductory statement atthe beginning of a book, esp one that explains the author's aims",,,,,1,1,Mason 2000 PDF page 29 / 字根 face 臉、面 / 提示 preface 序言、緒言
self-effacement,,自謙、自我輕視,,,,,,1,1,Mason 2000 PDF page 29 / 字根 face 臉、面 / 提示 preface 序言、緒言
fallacious,adj.,欺騙的、謬誤的,misleading; based on error,,,,,1,1,"Mason 2000 PDF page 29 / 字根 fall, fault 錯誤 / 提示 pitfall 陷阱、圈套"
fallibility,,易出錯、出錯性,,,,,,1,1,"Mason 2000 PDF page 29 / 字根 fall, fault 錯誤 / 提示 pitfall 陷阱、圈套"
falsification,,竄改、編造、偽造,"[ falsify: ] vt. to make (a report, evidence, accounts, etc.) false or inaccurate by alteration, esp. in order to deceive",,,,false 錯誤的,1,1,"Mason 2000 PDF page 29 / 字根 fall, fault 錯誤 / 提示 pitfall 陷阱、圈套"
default,n.,不履行、違約、拖欠,"failure to do sth, esp to pay a debt or appear in court",,,,,1,1,"Mason 2000 PDF page 29 / 字根 fall, fault 錯誤 / 提示 pitfall 陷阱、圈套"
pitfall,n.,陷阱、圈套,unsuspected danger or difficulty,,,,,3,3,"Mason 2000 PDF page 29 / 字根 fall, fault 錯誤 / 提示 pitfall 陷阱、圈套"
fanatical,adj.,狂熱的、盲信的,surpassing what is normal or accepted in enthusiasm for or belief in something; excessively or unusually dedicated or devoted,,,,,1,1,Mason 2000 PDF page 29 / 字根 fan 入迷、幻想 / 提示 fantasy 幻想、想像
fanciful,,幻想的、奇特的,,,,,,3,3,Mason 2000 PDF page 29 / 字根 fan 入迷、幻想 / 提示 fantasy 幻想、想像
fanfare,n.,誇耀的遊行、嘹亮的喇叭聲,"short ceremonial piece of music, usu played on trumpets",,,,,1,1,Mason 2000 PDF page 29 / 字根 fare 去 / 提示 farewell 辭行、告別
malfeasance,,不法行為、瀆職,a wrongful act that the actor had no right to do; improper professional conduct,The company fired the CEO for malfeasance after he was found guilty of insider trading. 公司因行為不當解雇了CEO，他因 內幕交易被判有罪。,misbehavior;misconduct;wrongdoing,,mal(壞) + feas(做) + ance,2,2,Mason 2000 PDF page 29 / 字根 feas 做 / 提示 feasible 可行的、可實行的
affected,adj.,不自然的、假裝的,not natural or genuine; pretended; artificial,spoke in an affected manner,,,,5,2,Mason 2000 PDF page 29 / 字根 fect 做 / 提示 affect 影響
affection,n.,愛、鍾愛,feeling of fondness; love,,,,,2,1,Mason 2000 PDF page 29 / 字根 fect 做 / 提示 affect 影響
affectionate,adj.,充滿深情的、溫柔親切的,showing fondness (for sb); loving,affectionate friends,,,,2,1,Mason 2000 PDF page 29 / 字根 fect 做 / 提示 affect 影響
defect,n.,缺點、瑕疵 背叛、叛逃,fault or lack that spoils a person or thing,She was born with a heart defect. || a former KGB agent who defected to America,,,,3,3,Mason 2000 PDF page 29 / 字根 fect 做 / 提示 affect 影響
counterfeit,,偽造、仿造,"n, adj made or done so that it is very similar to another thing, in order to deceive; fake",counterfeit money 偽造貨幣。,,,counter(相反) + feit(做),2,2,Mason 2000 PDF page 29 / 字根 feit (=fact) 做 / 提示 forfeit 喪失、被罰沒收
forfeit,v.,喪失、被罰沒收；作廢,"lose or give up (sth) as a consequence of or punishment for having done sth wrong, or in order to achieve sth","When one of the ineligible 不合資格 players participated in a tournament game, the result was a forfeit.",,,,3,3,Mason 2000 PDF page 30 / 字根 feit (=fact) 做 / 提示 forfeit 喪失、被罰沒收
surfeit,n.,過量、過度,"(of sth) too much of sth, esp of food and drink","After eating an enormous dinner, I had a surfeit of food and couldn't eat another bite.",,,sur(超) + feit(做) → 超量、過度,2,2,Mason 2000 PDF page 30 / 字根 feit (=fact) 做 / 提示 forfeit 喪失、被罰沒收
felicific,,產生幸福的、帶來幸福的,,the felicific effects of exercise 運動對幸福的促進作用,,,,1,1,Mason 2000 PDF page 30 / 字根 felic 幸福 / 提示 felicitate 祝賀、慶祝
felicitous,adj.,（話語）得體的、適當的,(esp of words) well-chosen; apt,Her felicitous choice of words made her speech a memorable one. 她妙筆生花的用詞使她的演講令人難忘。,,,,2,2,Mason 2000 PDF page 30 / 字根 felic 幸福 / 提示 felicitate 祝賀、慶祝
